event_id,japones,en_final,estado
10010001,%s\nが%2F仲間になった！,,pending
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,,pending
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,,pending
10010001,(スカウトイベントの中でMobilephone,,pending
10010001,もしもし？\n%2F円堂くん？,,pending
10010001,dまさかオレが%2F雷門サッカー%1F部に\n%1F入ることになるとはな…。\nまあ　よろしくたのむぜ…。,,pending
10010001,スカウトキャラ配置,,pending
10010002,%s\nが%2F仲間になった！,,pending
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,,pending
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,,pending
10010002,もしもし？\n%2F円堂くん？,,pending
10010002,\%2F雷門には\n%2F美人マネージャーが　いるらしいな。\nしかたないから　%1F入ってやるよ。,,pending
10010002,(スカウトイベントの中でMobilephone,,pending
10010002,スカウトキャラ配置,,pending
10010003,%s\nが%2F仲間になった！,,pending
10010003,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,,pending
10010003,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,,pending
10010003,もしもし？\n%2F円堂くん？,,pending
10010003,`よう！　この%1F前は　%1F負けたぜ。\nせっかくさそわれたんだし\n%2F転校して%1F来てやるよ。,,pending
10010003,(スカウトイベントの中でMobilephone,,pending
10010003,スカウトキャラ配置,,pending
10010004,%s\nが%2F仲間になった！,,pending
10010004,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,,pending
10010004,\べ　%1F別にあなたのために\nやっているわけじゃないのだから！\nかんちがいしないでよね！,,pending
10010004,もしもし？\n%2F円堂くん？,,pending
10010004,Xふん！　このオレが　おまえたちの\nサッカー%1F部に%1F入ってやるよ。\n%2F感謝しな！,,pending
10010004,(スカウトイベントの中でMobilephone,,pending
10010004,スカウトキャラ配置,,pending
10010005,%s\nが%2F仲間になった！,,pending
10010005,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,,pending
10010005,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,,pending
10010005,(スカウトイベントの中でMobilephone,,pending
10010005,もしもし？\n%2F円堂くん？,,pending
10010005,T%2F雷門サッカー%1F部　%1F入りに%1F来た…\n%1F道にまよった…\n%2F案内しろ…。,,pending
10010005,スカウトキャラ配置,,pending
10010006,%s\nが%2F仲間になった！,,pending
10010006,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,,pending
10010006,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,,pending
10010006,もしもし？\n%2F円堂くん？,,pending
10010006,Tあんたたち　なかなか%1F強かったな。\n%2F雷門に%2F転校したいのだが…\nいいか？,,pending
10010006,(スカウトイベントの中でMobilephone,,pending
10010006,スカウトキャラ配置,,pending
10010007,%s\nが%2F仲間になった！,,pending
10010007,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,,pending
10010007,D%1F彼なら\n%3F河川敷グラウンドの%2F道路に\n%1F呼んでいるわ。,,pending
10010007,(スカウトイベントの中でMobilephone,,pending
10010007,もしもし？\n%2F円堂くん？,,pending
10010007,4もうわかっているよね？\nこれから　よろしく！,,pending
10010007,スカウトキャラ配置,,pending
10010008,%s\nが%2F仲間になった！,,pending
10010008,8%1F彼なら\n%3F河川敷の%2F道路に\n%1F呼んでいるわ。,,pending
10010008,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,,pending
10010008,もしもし？\n%2F円堂くん？,,pending
10010008,Lまさか　こんなことになるとはな…。\nまあ　ちゃんと%2F入部してやるよ。,,pending
10010008,(スカウトイベントの中でMobilephone,,pending
10010008,スカウトキャラ配置,,pending
10010009,%s\nが%2F仲間になった！,,pending
10010009,8%1F彼なら\n%3F河川敷の%2F道路に\n%1F呼んでいるわ。,,pending
10010009,Pわざわざ　%1F呼んであげたんだから\nちゃんと　%1F引き%1F抜いてくることね。,,pending
10010009,もしもし？\n%2F円堂くん？,,pending
10010009,Lこのボクが%1F入りに%1F来てやったよ。\nさあ　%2F入部させてもらおうか。,,pending
10010009,(スカウトイベントの中でMobilephone,,pending
10010009,スカウトキャラ配置,,pending
10010010,%s\nが%2F仲間になった！,,pending
10010010,8%1F彼なら\n%3F河川敷の%2F道路に\n%1F呼んでいるわ。,,pending
10010010,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,,pending
10010010,もしもし？\n%2F円堂くん？,,pending
10010010,Pもうオレたちが%1F戦う%2F理由はない。\nおまえの%2F勝利に　%2F協力しよう！,,pending
10010010,(スカウトイベントの中でMobilephone,,pending
10010010,スカウトキャラ配置,,pending
10010011,%s\nが%2F仲間になった！,,pending
10010011,4%1F彼なら\n%2F正門の%1F近くに%1F呼んでいるわ。,,pending
10010011,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,,pending
10010011,(スカウトイベントの中でMobilephone,,pending
10010011,もしもし？\n%2F円堂くん？,,pending
10010011,d%2F雷門サッカー%1F部\nあんたたちの%2F実力はホンモノだった。\nいっしょにサッカーさせてくれ！,,pending
10010011,スカウトキャラ配置,,pending
10010012,%s\nが%2F仲間になった！,,pending
10010012,\べ　%1F別にあなたのために\nやっているわけじゃないのだから！\nかんちがいしないでよね！,,pending
10010012,D%1F彼なら\n%3F正門前グラウンドの%1F近くに\n%1F呼んでいるわ。,,pending
10010012,(スカウトイベントの中でMobilephone,,pending
10010012,もしもし？\n%2F円堂くん？,,pending
10010012,スカウトキャラ配置,,pending
10010012,…%1F入れろ。,,pending
10010013,%s\nが%2F仲間になった！,,pending
10010013,D%1F彼なら\n%3F正門前グラウンドの%1F近くに\n%1F呼んでいるわ。,,pending
10010013,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,,pending
10010013,もしもし？\n%2F円堂くん？,,pending
10010013,<%2F雷門サッカー%1F部に%1F入りに%1F来た！\nよろしく！,,pending
10010013,(スカウトイベントの中でMobilephone,,pending
