event_id,idx,japones,es_final,estado
10040001,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10040001,1,Dお　%2F円堂！\nおまえが　ここに%1F来るなんて\nめずらしいな。,"¡Eh, Mark! Vaya, qué raro se me\nhace verte por aquí.",oficial
10040001,2,Tまさか…　もう１%1F度\nサッカー%1F部へ%1F入れって\n%1F言うんじゃないだろうな？,"No vendrás a darme otra vez\nla murga con eso de que me\nuna al Raimon, ¿no?",oficial
10040001,3,\ふぅ…　しょうがないな。\nおまえは　１%1F度%1F言い%1F出したら\n%1F止まらないからな。,"En fin, tú ganas... Una vez se\nte mete algo en la cabeza, ya\nnada te hace cambiar de idea...",oficial
10040001,4,(サッカー%1F部に%1F入ってやるよ。,"Jugaré contigo, va.",oficial
10040001,5,4ゼッタイ　そう%1F言うと\n%1F思ったんだけどな。,Sabía que dirías eso.,oficial
10040002,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10040002,1,lよくオレを%1F見つけることができたな。\nほうびとして　おまえのねがいを\nひとつだけ　かなえてやろう。,"Muy bien, me has encontrado...\nComo recompensa, te concederé\nun deseo.",oficial
10040002,2,$さあ　%1F何でも%1F言うのだ。,"Venga, soy todo oídos.",oficial
10040002,3,`オレにサッカー%1F部へ%1F入れ…　か。\nうむ　いいだろう。\nその%1F願い　かなえてやろう！,"Así que quieres que me apunte\na tu equipo... Bueno, vale.\nTe haré el favor.",oficial
10040002,4,Pならば　またオレを%1F見つけたときに\nおまえの%1F願いを　かなえてやろう。,"La próxima vez que nos veamos,\nsi todo va bien, te concederé\ntu deseo.",oficial
10040003,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10040003,1,Pうわっ！　な　なんだおまえは…！\n…えっ？　オレが%1F何をしているかって？,¡Uah! ¿Qué quieres?...\n¿Que qué estoy haciendo?...,oficial
10040003,2,t…べ　べつに%1F女の%1F子の%1F着がえを\nのぞこうとなんてしてないぞ。\nう　ウソじゃないからな！　%2F本当だぞ！,No... No te vayas a pensar que\nestoy mirando en los vestuarios\nde las chicas. ¡De verdad!,oficial
10040003,3,pでも　みんなにはナイショにしてくれ。\nそのかわり　おまえの%1F言うことをひとつ\n%1F聞いてやるからさ。　な？,"No se lo digas a nadie. A cambio,\nte haré el favor que me pidas.\n¡Pero solo uno!",oficial
10040003,4,\…サッカー%1F部に%1F入れ？\nえっ？　そんなのでいいのか？\nだったら　%1F入ってやるよ。,¿Que juegue en tu equipo? ¿Va\nen serio? Por mí vale...,oficial
10040003,5,8だから　ミンナには\nヒミツにしておいてくれよな。,"Ni mu de esto, ¿eh?",oficial
10040003,6,T%1F何でも%1F言うことを%1F聞いてやるからさ\nミンナには　ナイショにしてくれよ！,"¡Haré lo que tú me pidas, pero\nno se lo digas a nadie, por favor!",oficial
10040004,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10040004,1,Dんっ？　キミはダレだい？\nテニス%1F部に%1F何か%1F用なのかい？,¿Eh? ¿Quién eres? ¿Qué se te\nha perdido en el club de tenis?,oficial
10040004,2,@…オレをサッカー%1F部にさそいたい？\nうーん　サッカーね…,"¿Me quieres en tu equipo?\nHmm, así que fútbol...",oficial
10040004,3,Pオレって　テニスっぽい%1F顔だと%1F思うけど\nサッカーも　%2F似合うかな？,"Creo que me pega más jugar al\ntenis, pero a lo mejor el fútbol\nno se me da tan mal.",oficial
10040004,4,@それだったら　やってみてもいいよ。\nこれから　よろしくね。,A ver qué tal se me da.,oficial
10040004,5,0やっぱりオレは　テニス%1F顔なんだよな。,Yo es que soy más de tenis...,oficial
10040005,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10040005,1,<なんだい　あんた！\n%2F柔道%1F部に%1F何か%1F用かい？,¿Ya estamos otra vez?\n¿Qué es lo que quieres\ndel club de judo?,oficial
