idx,japones,espanol_oficial
0,雷門,Raimon
1,帝国,Royal Academy
2,尾刈斗,Occult
3,野生,Wild
4,御影専農,Brain
5,秋葉名戸,Otaku
6,戦国伊賀島,Shuriken
7,千羽山,Farm
8,木戸川,Kirkwood
9,世宇子,Zeus
10,稲妻ＫＦＣ,Inazuma Kids FC
11,傘美野,Umbrella
12,一番街,Sallys
13,ＯＢズ,Veteranos
14,相撲部,Club de sumo
15,占い,Adivinos
16,コンビニ,Tenderos
17,運動部,Gimnastas
18,野生中はぐれ,Niños de la jungla
19,ラグビー部,Club de rugby
20,不良,Gamberros
21,サッカー部,Club de fútbol
22,サッカー部,Club de fútbol
23,サッカー部,Club de fútbol
24,帝国 (練習試合用),Royal Academy
25,ＯＢズ,Veteranos
26,うらゼウス,Ultra Zeus
27,ナゾの黒服,Hombres de negro
28,スラムの番人,Amos de la calle
29,秋葉名戸のオタク,Fanáticos del Otaku
30,ナゾの黒服,Hombres de negro
31,戦国の忍び,Ninjas letales
32,ガリガリ相撲部,Sumokas esmirriados
33,ぽっちゃり相撲部,Sumokas rechonchos
34,ぷっくり相撲部,Sumokas panzudos
35,どすこい相撲部,Sumokas motivados
36,よこづな相撲部,Sumokas maestros
37,相撲部チーム０６,Sumokas 06
38,へたっぴ野球部,Beisbolistas torpes
39,しろうと野球部,Beisbolistas nuevos
40,ほけつ野球部,Reservas
41,野球部レギュラー,Titulares
42,アイドル野球部,Ídolos del béisbol
43,野球部チーム０６,Beisbolistas 06
44,野球部チーム０７,Beisbolistas 07
45,野球部チーム０８,Beisbolistas 08
46,のろま陸上部,Atletas cabezones
47,スキップ陸上部,Atletas saltarines
48,かけあし陸上部,Correcaminos
49,しゅんそく陸上部,Pies ligeros
50,マッハ陸上部,Atletas sónicos
51,陸上部チーム０６,Atletas 06
52,陸上部チーム０７,Atletas 07
53,陸上部チーム０８,Atletas 08
54,からぶりテニス部,Matamoscas
55,ノーコンテニス部,Tenistas desatados
56,しゃにむにテニス部,Tenistas temerarios
57,スマッシュテニス部,Magos del machaque
58,テニス部プリンス,Príncipes del tenis
