idx,japones,espanol_oficial
0,"制限時間内に
　ロッカーにボールをあてよう！",¡Dale a la taquilla con el balón antes de que se acabe el tiempo!
1,"制限時間内に
　ロッカーにボールをあてよう！",¡Dale a la taquilla con el balón antes de que se acabe el tiempo!
2,相手チームからボールをうばえ！,¡Róbale el balón al equipo rival!
3,相手チームにボールをとられるな！,¡Que no te quiten el balón!
4,相手チームより先に２点とれ！,¡Gana con dos goles de ventaja!
5,相手チームからボールをうばえ！,¡Róbale el balón al equipo rival!
6,不良から１点を　もぎとれ！,¡Métele gol a los gamberros!
7,相手チームからボールをうばえ！,¡Róbale el balón al equipo rival!
8,"紅白戦だ！
１５分間　試合をしよう！",¡Juega un partidillo de 15 minutos!
9,"紅白戦だ！
１５分間　試合をしよう！",¡Juega un partidillo de 15 minutos!
10,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
11,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
12,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
13,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
14,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
15,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
16,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
17,制限時間内に点をとられるな！,¡Que no te metan gol!
18,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
19,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
20,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
21,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
22,相手チームからボールをうばえ！,¡Róbale el balón al equipo rival!
23,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
24,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
25,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
26,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
27,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
28,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
29,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
30,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
31,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
32,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
33,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
34,相手チームにボールをとられるな！,¡Que no te quiten el balón!
35,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
36,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
37,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
38,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
39,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
40,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
41,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
42,制限時間内に点をとられるな！,¡Que no te metan gol!
43,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
44,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
45,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
46,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
47,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
48,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
49,相手チームにボールをとられるな！,¡Que no te quiten el balón!
50,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
51,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
52,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
53,相手チームからボールをうばえ！,¡Róbale el balón al equipo rival!
54,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
55,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
56,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
57,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
58,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
59,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
60,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
61,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
62,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
63,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
64,相手チームと２点差をつけろ！,¡Gana por 2 goles de diferencia!
65,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
66,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
67,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
68,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
69,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
70,相手チームからボールをうばえ！,¡Róbale el balón al equipo rival!
71,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
72,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
73,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
74,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
75,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
76,制限時間内に点をとられるな！,¡Que no te metan gol!
77,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
78,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
79,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
80,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
81,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
82,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
83,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
84,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
85,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
86,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
87,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
88,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
89,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
90,相手チームと２点差をつけろ！,¡Gana por 2 goles de diferencia!
91,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
92,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
93,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
94,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
95,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
