event_id,japones,es_final,estado
10010001,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio.",oficial
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio.",oficial
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio.",oficial
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio.",oficial
10010001,(スカウトイベントの中でMobilephone,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio.",revisar
10010001,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?,oficial
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio.",oficial
10010001,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?,oficial
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010001,8ぼやぼやしていると\nどこかへ%1F行ってしまうわよ。,"Como pierdas mucho el tiempo,\nse acabará yendo a otro sitio.",oficial
10010001,dまさかオレが%2F雷門サッカー%1F部に\n%1F入ることになるとはな…。\nまあ　よろしくたのむぜ…。,Quién me iba a decir que acabaría\njugando al fútbol en el Raimon.\n¿Crees que nos llevaremos bien?,revisar
10010001,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010001,スカウトキャラ配置,¡Apuntadme en el equipo!,auto-dup
10010002,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte.",revisar
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte.",revisar
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte.",revisar
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte.",revisar
10010002,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?,oficial
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte.",revisar
10010002,もしもし？\n%2F円堂くん？,¡Hola! ¿Mark?,oficial
10010002,0%1F彼なら\n%2F駅前に　%1F呼んでいるわ。,Le he dicho que te espere\npor la estación.,oficial
10010002,Lどこかへ%1F行ってしまう%1F前に\n%1F早く　%1F引き%1F抜いてきなさい。,"Fíchale rápido, antes de\nque se vaya a otra parte.",revisar
