idx,japones,espanol_oficial
1,円堂　守,Mark Evans
2,風丸　一郎太,Nathan Swift
3,壁山　塀吾郎,Jack Wallside
4,影野　仁,Jim Wraith
5,栗松　鉄平,Tod Ironside
6,半田　真一,Steve Grim
7,少林寺　歩,Tim Saunders
8,宍戸　佐吉,Sam Kincaid
9,松野　空介,Maxwell Carson
10,豪炎寺　修也,Axel Blaze
11,染岡　竜吾,Kevin Dragonfly
12,目金　欠流,William Glass
13,雷門　夏未,Nelly Raimon
14,音無　春奈,Celia Hills
15,木野　秋,Silvia Woods
16,中元,Nash
17,佐藤,Sater
18,池山,Isaacs
19,冬海　卓,Frank Wintersea
20,源田　幸次郎,Joseph King
21,大野　伝助,Peter Drent
22,万丈　一道,Ben Simmons
23,成神　健也,Alan Master
24,五条　勝,Gus Martin
25,辺見　渡,Herman Waldon
26,咲山　修二,John Bloom
27,洞面　秀一郎,Derek Swing
28,寺門　大貴,Daniel Hatch
29,鬼道　有人,Jude Sharp
30,佐久間　次郎,David Samford
31,兵藤　雄平,Bob Carlton
32,恵那　和樹,Cliff Tomlinson
33,椋本　圭,Jim Lawrenson
34,渋木　翔大,Barry Potts
35,大楠　星士,Steve Ingham
36,鉈　十三,Nathan Jones
37,三途　渡,Russell Walk
38,柳田　しげる,Jason Jones
39,不乱　拳,Ken Furan
40,屍　藤美,Jerry Fulton
41,霊幻　道久,Ray Mannings
42,木乃伊　魔美,Robert Mayer
43,八墓　祟,Alexander Brave
44,幽谷　博之,Johan Tassman
45,月村　憲一,Troy Moon
46,武羅渡　牙,Burt Wolf
47,不死　祀,Rob Crombie
48,人形　幻,Chuck Dollman
49,円谷　未知,Uxley Allen
50,黒上　呪,Phil Noir
51,魔界　崇雄,Mick Askley
52,猪口　兵吾,Charlie Boardfie
53,鶏井　亮太,Hugo Tallgeese
54,魚住　拓人,Wilson Fishman
55,蛙田　達士,Peter Johnson
56,獅子王　吼,Leonard O'Shea
57,香芽　レオン,Cham Lion
58,大鷲　誠次,Steve Eagle
59,猿田　登,Bruce Monkey
60,五利　真吾,Gary Lancaster
61,蛇丸　彰真,Harry Snake
62,水前寺　馳威太,Adrian Speed
63,小荒　登,Alan Coe
64,判　竹夫,Philip Anders
65,荒井川　熊巳,Rocky Rackham
66,根津　光夫,Matt Mouseman
67,牛尾　空也,Chad Bullford
68,杉森　威,Thomas Feldt
69,弘山　誘,Harry Leading
70,花岡　強,Terry Stronger
71,室伏　恐,Philip Marvel
72,稲田　則,Noel Good
73,寺川　巌,Tyron Rock
74,藤丸　啓,Francis Tell
75,山郷　暴,Samuel Buster
76,山岸　迫,Jonathan Seller
77,大部　信,Victor Kind
78,下鶴　改,Neil Turner
79,真下　乏,Reg Underwood
80,都築　静,Patrick Stiller
81,平生　仁,Charles Oughtry
82,長友　喪,Clive Mooney
83,水淵　無,Neil Waters
84,相戸留　捜,Sam Idol
85,線路　鉄雄,Marcus Train
86,野部流　来人,Light Nobel
87,無敵　英雄,Walter Valiant
88,仮沢　装,Spencer Gates
89,御良　一輝,Josh Spear
90,自作　派流,Gaby Farmer
91,呂簿　合機,A. Woodbridge
92,芸夢　好武,Gus Gamer
93,漫画　萌,Mark Gambling
94,明井戸　達人,Theodore Master
95,木内　努,Ham Signalman
96,造形　製雄,Bill Formby
97,闘馬　草太,Grant Eldorado
98,声模　索太,Mike Vox
99,熱斗　探李,Ollie Webb
100,百地　三太,Morgan Sanders
101,藤林　長門,Newton Flust
102,高坂　仁,Jim Hillfort
103,児雷也　蟇助,Galen Thunderbir
104,石川　五衛太,Finn Stoned
105,風魔　小平太,Phil Wingate
106,甲賀　幻,Jez Shell
107,猿飛　佐之助,Jupiter Jumper
108,柳生　十郎,Sam Samurai
109,初鳥　伴三,Hank Sullivan
110,霧隠　才次,Sail Bluesea
111,鉢屋　也三郎,John Reynolds
112,加藤　段,Dan Hopper
113,出浦　清盛,Cal Trops
114,滝川　一馬,Winston Falls
115,城戸　弥門,Kevin Castle
116,綾野　勇一,Albert Green
117,炭野　詠輔,Seward Hayseed
118,芹沢　和憲,Kent Work
119,牧谷　寛,Mark Hillvalley
120,塩谷　ヒロ,Herb Sherman
121,山根　羊,Joe Small
122,育井　庄児,Ike Steiner
123,大鯉　昇,Orville Newman
124,原野　徹,Tom Walters
125,根上　大地,Daniel Dawson
126,田主丸　茂樹,Stuart Racoonfur
127,草生　久志,Lorne Mower
128,米山　植人,Homer Grower
129,犬飼　茂樹,Rolf Howells
130,福井　咲平,Luke Lively
131,富士　地洋,Ben Nevis
132,軟山　弱,John Neville
133,西垣　守,Malcolm Night
134,女川　映日,Alfred Meenan
135,光宗　団,Dan Mirthful
